Race,2017,2018,2019,2020,2021,2022,Grand Total
Missing,1,,,1,,,2
Asian/Pacfic Islander,2,5,10,5,5,4,31
Black/African American       ,526,949,934,858,988,1175,5430
Hispanic/Latino      ,44,115,111,87,118,48,523
Native American/Alaska Native,,,,2,1,2,5
Unknown,684,498,218,204,221,98,1923
White            ,32,86,78,70,95,128,489
Grand Total,1289,1653,1351,1227,1428,1455,8403
