Year,Count of CaseNumber,Status
2017,557,CLOSED
2017,112,DISPOSED
2017,199,OPEN
2017,12,PROBATION
2018,544,CLOSED
2018,173,DISPOSED
2018,164,OPEN
2018,42,PROBATION
2019,428,CLOSED
2019,108,DISPOSED
2019,142,OPEN
2019,41,PROBATION
2020,308,CLOSED
2020,69,DISPOSED
2020,178,OPEN
2020,44,PROBATION
2021,301,CLOSED
2021,82,DISPOSED
2021,158,OPEN
2021,48,PROBATION
2022,183,CLOSED
2022,57,DISPOSED
2022,222,OPEN
2022,35,PROBATION
