Year,Count of CaseNumber,Status
2017,5559,CLOSED
2017,1278,DISPOSED
2017,2508,OPEN
2017,8,PROBATION
2018,6236,CLOSED
2018,1625,DISPOSED
2018,1941,OPEN
2018,33,PROBATION
2019,6009,CLOSED
2019,1304,DISPOSED
2019,1227,OPEN
2019,83,PROBATION
2020,3187,CLOSED
2020,1043,DISPOSED
2020,770,OPEN
2020,161,PROBATION
2021,3493,CLOSED
2021,1135,DISPOSED
2021,902,OPEN
2021,229,PROBATION
2022,3774,CLOSED
2022,1249,DISPOSED
2022,1174,OPEN
2022,216,PROBATION
