Year,Black,Hispanic,White,Other,Missing/Unknown
2017,47.47,45.45,50.14,35.71,55.67
2018,56.26,56.49,55.56,75.76,56.31
2019,55.08,57.26,56.53,72.58,54.98
2020,56.77,56.25,56.67,58.33,51.11
2021,58.49,61.86,53.58,43.08,55.98
2022,60.90,57.65,55.47,54.76,55.76
