Year,17 and Below,18-24,25-34,35-44,45-54,55-64,65 and Above,Missing/Unknown
2017,318,3120,3916,2007,1493,620,148,1273
2018,194,2743,3821,2059,1423,664,156,1197
2019,186,2196,3289,1933,1224,601,161,1057
2020,75,1214,1980,1213,788,414,87,1108
2021,80,1453,2218,1264,740,417,81,1111
2022,82,1468,2395,1439,808,483,133,1141
