Ref Year,Black,Hispanic,White,Other,Missing/Unknown
2017,7916,203,3277,77,1422
2018,7482,229,3061,82,1403
2019,6621,161,2519,66,1280
2020,4035,95,1485,69,1195
2021,4454,175,1440,47,1248
2022,4701,85,1474,53,1636
